FIRST_DIST,FIRST_Z,LINE_ID
0,215,1
9.423228982,215,1
18.84645796,215,1
28.26968695,215,1
37.69291593,215,1
47.11614491,215,1
56.53937389,215,1
65.96260287,215,1
75.38583186,215,1
84.80906084,215,1
94.23238434,215,1
103.6556133,215,1
113.0788423,215,1
122.5020713,215,1
131.9253003,215,1
141.3485293,215,1
150.7717582,215,1
160.1949872,215,1
169.6182162,215,1
179.0414452,215,1
188.4646742,215,1
197.8879031,215,1
207.3111321,215,1
216.7343611,215,1
226.1575901,215.001,1
235.5808191,215.0501,1
245.0040481,215.1124,1
254.427277,215.1653,1
263.850506,215.2181,1
273.273735,215.2709,1
282.6970585,215.3237,1
292.1202875,215.3765,1
301.5435165,215.4293,1
310.9667455,215.8688,1
320.3899744,216,1
329.8132034,216,1
339.2364324,216,1
348.6596614,216,1
358.0828904,216,1
367.5061193,216,1
376.8496377,216,1
386.193256,216,1
395.5367741,216,1
404.8802924,216,1
414.2238107,216,1
423.567429,216,1
432.9109474,216,1
442.2544657,216,1
451.5979838,216,1
460.9416021,216,1
470.2851204,216,1
479.6286387,216,1
488.972257,216,1
498.3157752,216,1
507.6592935,216,1
517.0028118,216,1
526.3464301,216.4814,1
535.6899484,217,1
545.0334667,217,1
554.3769849,217,1
563.7206032,217,1
573.0641215,217,1
582.1524355,217,1
591.2408123,217,1
600.3291263,217,1
609.4174252,217,1
618.5057392,217,1
627.594116,217,1
636.68243,217,1
645.7708068,217,1
654.8591208,217,1
663.9474197,217,1
673.0357337,217,1
682.1241105,217.2755,1
691.2348143,217.7026,1
700.34556,218,1
709.456173,218,1
718.5668768,218,1
727.6776224,218,1
736.7883262,218,1
745.8989811,218,1
755.0096849,218,1
764.1203887,218,1
773.2311344,218,1
782.3418382,218,1
791.4524512,218,1
800.5631968,217.7908,1
809.6739006,217,1
819.163991,217,1
828.6540828,217,1
838.1441732,217,1
847.6343635,217.8946,1
857.1244553,218,1
866.6145457,218,1
876.1046361,218,1
885.5947279,218,1
895.0848183,218,1
904.5749086,218,1
914.0650005,218.0698,1
923.5551908,218.88,1
933.0452812,219,1
942.535373,219,1
952.0254634,219,1
961.5155537,219,1
971.0056455,219,1
980.4957359,219,1
989.9858263,219,1
999.4760181,219,1
1008.966108,219,1
1018.456199,219.8334,1
1027.946291,220,1
1037.436381,220,1
1046.926471,220,1
1056.416563,220,1
1065.906654,220,1
1075.396844,220,1
1084.886936,220,1
1094.377026,220,1
1103.867116,220,1
1113.357208,220,1
1122.847299,220,1
1132.337389,220,1
1141.827581,220,1
1151.317671,220,1
1160.807762,220,1
1170.297853,220,1
1179.787944,220,1
1189.278034,220,1
1198.768126,220,1
1208.258216,220,1
1217.748407,220,1
1227.238498,220,1
1236.728589,220,1
1246.218679,220,1
1255.708771,220,1
1265.198861,220,1
1274.688952,220,1
1284.179044,220,1
1293.669234,220,1
1303.159324,220.7315,1
1312.649416,221,1
1322.139507,221,1
1331.629597,221,1
1341.119689,221,1
1350.609779,221,1
1360.099869,221,1
1369.590061,221,1
1379.080152,221,1
1388.570242,221,1
1398.060334,221.5683,1
1407.550424,221.9477,1
1417.040515,222,1
1426.530606,222,1
1436.020697,222,1
1445.510887,222,1
1455.000979,222,1
1464.491069,222,1
1473.98116,222,1
1483.471251,222,1
1492.961342,222,1
1502.451432,222,1
1511.941624,222,1
1521.431714,222.6534,1
1530.921805,223,1
1540.411897,223,1
1549.901987,223,1
1559.392077,223,1
1568.882169,223,1
1578.372259,223,1
1587.86245,223,1
1597.352542,223,1
1606.842632,223,1
1616.332722,223,1
1625.822814,223,1
1635.312905,223,1
1644.802995,223,1
1654.293087,223,1
1663.783277,223,1
1673.273367,223,1
1682.763459,223,1
1692.25355,223,1
1701.74364,223,1
1711.233732,223,1
1720.723822,223.582,1
1730.213913,224,1
1739.704104,224,1
1749.194195,224,1
1758.684285,224,1
1768.174377,224,1
1777.664467,224,1
1787.154558,224,1
1796.644649,224,1
1806.13484,224,1
1815.62493,224,1
1825.115022,224,1
1834.605112,224,1
1844.095203,224,1
1853.585295,224,1
1863.075385,224,1
1872.565475,224,1
1882.055667,224,1
1891.545757,224,1
1901.035848,224,1
1910.52594,224.5141,1
1920.01603,225,1
1929.50612,225,1
1938.996212,225,1
1948.486303,225,1
1957.976493,225,1
1967.466585,225,1
1976.956675,225,1
1986.446766,225,1
1995.936857,225,1
2005.426948,225,1
2014.917038,225,1
2024.40713,225,1
2033.89732,225,1
2043.387411,225,1
2052.877502,225,1
2062.367593,225,1
2071.857683,225,1
2081.347775,225,1
2090.837865,225,1
2100.327956,225.4462,1
2109.818148,226,1
2119.308238,226,1
2128.798328,226,1
2138.28842,226,1
2147.77851,226,1
2157.268601,226,1
2166.758693,226,1
2176.248883,226,1
2185.738973,226,1
2195.229065,226,1
2204.719156,226,1
2214.209246,226,1
2223.699338,226,1
2233.189428,226,1
2242.679518,226,1
2252.16971,226,1
2261.659801,226,1
2271.149891,226,1
2280.639983,226,1
2290.130073,226,1
2299.620164,226.3748,1
2309.110255,227,1
2318.600346,227,1
2328.090536,227,1
2337.580628,227,1
2347.070718,227,1
2356.560809,227,1
2366.0509,227,1
2375.540991,227,1
2385.031081,227,1
2394.521173,227,1
2404.011363,227.3375,1
2413.501454,228,1
2422.991546,228,1
2432.481636,228,1
2441.971726,228,1
2451.461818,228,1
2460.951908,228,1
2470.442099,228,1
2479.932191,228,1
2489.422281,228,1
2498.912371,228,1
2508.402463,228,1
2517.892554,228,1
2527.382644,228.2933,1
2536.872736,229,1
2546.362926,229,1
2555.853017,229,1
2565.343108,229,1
2574.833199,229,1
2584.323289,229,1
2593.813381,229,1
2603.303471,229,1
2612.793562,229,1
2622.283753,229,1
2631.773844,229,1
2641.263934,229,1
2650.754026,229,1
2660.244116,229,1
2669.734207,229,1
2679.224299,229,1
2688.714389,229.2355,1
2698.204579,230,1
2707.694671,230,1
2717.184761,230,1
2726.674852,230,1
2736.164944,230,1
2745.655034,230,1
2755.145124,230,1
2764.635216,230,1
2774.125407,230,1
2783.615497,230,1
2793.105589,230,1
2802.595679,230,1
2812.101272,230,1
2821.606865,230,1
2831.112558,230,1
2840.618151,230,1
2850.123745,230,1
2859.629338,230,1
2869.134931,230,1
2878.640524,230,1
2888.146217,230,1
2897.65181,230,1
2907.157403,230,1
2916.662998,230,1
2926.168591,230,1
2935.674284,230,1
2945.179877,230,1
2954.68547,230,1
2964.191063,230,1
2973.696656,230,1
2983.202349,230,1
2992.707942,230,1
3002.213536,230,1
3011.719129,230,1
3021.224722,230,1
3030.730315,230,1
3040.236008,230,1
3049.741601,230,1
3059.247194,230,1
3068.752787,230,1
3078.25838,230,1
3087.764073,230,1
3097.269666,230,1
3106.77526,230,1
3116.280853,230,1
3125.786447,230,1
3135.29214,230,1
3144.797733,230,1
3154.303326,230,1
3163.80892,230,1
3173.314513,230,1
3182.820106,230,1
3192.325799,230,1
3201.831392,230,1
3211.336985,230,1
3220.842578,230,1
3230.348171,230,1
3239.853864,230,1
3249.359457,230,1
3258.865051,230,1
3268.370644,230,1
3277.876237,230,1
3287.38193,230,1
3296.887523,230,1
3306.393116,230,1
3315.898709,230,1
3325.404302,230,1
3334.909897,230,1
3344.41559,230,1
3353.921183,230,1
3363.426776,230,1
3372.932369,230,1
3382.437962,230,1
3391.943655,230,1
3401.449248,230,1
